2026-02-02 16:17:36,692 | INFO | RUN  02_capture_document_html
2026-02-02 16:17:44,515 | INFO | RUN  03_extract_from_document
2026-02-02 16:17:45,068 | INFO | RUN  select_events
2026-02-02 16:17:45,242 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:17:45,243 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:17:45,243 | INFO | SKIP 40_compute_surprise
2026-02-02 16:17:45,243 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:18:04,918 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:18:04,918 | INFO | SKIP 01_save_session
2026-02-02 16:18:04,919 | INFO | RUN  02_capture_document_html
2026-02-02 16:18:12,972 | INFO | RUN  03_extract_from_document
2026-02-02 16:18:13,484 | INFO | RUN  select_events
2026-02-02 16:18:13,630 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:18:13,630 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:18:13,630 | INFO | SKIP 40_compute_surprise
2026-02-02 16:18:13,631 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:19:08,464 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:19:08,464 | INFO | SKIP 01_save_session
2026-02-02 16:19:08,465 | INFO | RUN  02_capture_document_html
2026-02-02 16:19:17,367 | INFO | RUN  03_extract_from_document
2026-02-02 16:19:18,921 | INFO | RUN  select_events
2026-02-02 16:19:19,204 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:19:19,204 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:19:19,204 | INFO | SKIP 40_compute_surprise
2026-02-02 16:19:19,205 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:19:59,243 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:19:59,243 | INFO | SKIP 01_save_session
2026-02-02 16:19:59,243 | INFO | RUN  02_capture_document_html
2026-02-02 16:20:17,979 | INFO | RUN  03_extract_from_document
2026-02-02 16:20:19,054 | INFO | RUN  select_events
2026-02-02 16:20:19,229 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:20:19,229 | INFO | SKIP 30_refresh_actuals
